Symbol,Ensembl_Gene_ID,Category
TAP1,ENSG00000168394,APM
TAP2,ENSG00000204267,APM
ERAP1,ENSG00000164307,APM
ERAP2,ENSG00000164308,APM
TAPBP,ENSG00000231925,APM
CALR,ENSG00000179218,APM
PDIA3,ENSG00000167004,APM
CANX,ENSG00000127022,APM
HLA-A,ENSG00000206503,MHC1
HLA-B,ENSG00000234745,MHC1
HLA-C,ENSG00000204525,MHC1
B2M,ENSG00000166710,MHC1
HLA-E,ENSG00000204592,MHC1
IRAK1,ENSG00000184216,TLR
IRAK2,ENSG00000134070,TLR
IRAK4,ENSG00000198001,TLR
MYD88,ENSG00000172936,TLR
TRAF6,ENSG00000175104,TLR
IRAK3,ENSG00000090376,TLR
EGFR,ENSG00000146648,Growth_receptors
ERBB2,ENSG00000141736,Growth_receptors
ERBB3,ENSG00000065361,Growth_receptors
ERBB4,ENSG00000178568,Growth_receptors
FLT1,ENSG00000102755,Growth_receptors
KDR,ENSG00000128052,Growth_receptors
FLT4,ENSG00000037280,Growth_receptors
FGFR1,ENSG00000077782,Growth_receptors
FGFR2,ENSG00000066468,Growth_receptors
FGFR3,ENSG00000068078,Growth_receptors
PDGFRA,ENSG00000134853,Growth_receptors
PDGFRB,ENSG00000113721,Growth_receptors
TGFBR1,ENSG00000106799,Growth_receptors
TGFBR2,ENSG00000163513,Growth_receptors
MYC,ENSG00000136997,Oncogenes
YAP1,ENSG00000137693,Oncogenes
WWTR1,ENSG00000018408,Oncogenes
MYCL,ENSG00000116990,Oncogenes
MYCN,ENSG00000134323,Oncogenes
BTK,ENSG00000010671,Oncogenes
SYK,ENSG00000165025,Oncogenes
SRC,ENSG00000197122,Oncogenes
ALK,ENSG00000171094,Oncogenes
KRAS,ENSG00000133703,Oncogenes
HRAS,ENSG00000174775,Oncogenes
NRAS,ENSG00000213281,Oncogenes
MDM2,ENSG00000135679,Oncogenes
CDK4,ENSG00000135446,Oncogenes
CDK6,ENSG00000105810,Oncogenes
CDK9,ENSG00000136807,Oncogenes
RET,ENSG00000165731,Oncogenes
CD274,ENSG00000120217,Immune_checkpoints
PDCD1LG2,ENSG00000197646,Immune_checkpoints
CTLA4,ENSG00000163599,Immune_checkpoints
PDCD1,ENSG00000188389,Immune_checkpoints
TNFRSF4,ENSG00000186827,Immune_checkpoints
TNFRSF18,ENSG00000186891,Immune_checkpoints
TNFSF4,ENSG00000117586,Immune_checkpoints
ICOS,ENSG00000163600,Immune_checkpoints
ADORA2A,ENSG00000128271,Immune_checkpoints
ADORA2B,ENSG00000170425,Immune_checkpoints
BTLA,ENSG00000186265,Immune_checkpoints
IDO1,ENSG00000131203,Immune_checkpoints
LAG3,ENSG00000089692,Immune_checkpoints
HAVCR2,ENSG00000135077,Immune_checkpoints
VSIR,ENSG00000107738,Immune_checkpoints
SIGLEC7,ENSG00000168995,Immune_checkpoints
